url	first_seen	portal	title	company	status
https://jobs.ashbyhq.com/eyt/ec5809c1-dae3-497a-9be5-a0fef35da9df	2026-04-06	ashby_ba_senior	Business Analyst	Extend Your Team	added
https://jobs.ashbyhq.com/sailorhealth/6c171f8f-8883-403a-9466-3bb0d9656e79	2026-04-06	ashby_ba_senior	Healthcare Business Analyst (Remote)	Sailor Health	added
https://jobs.ashbyhq.com/hockeystack/21bfc7e0-55c6-44c3-b9b0-75a29737d512	2026-04-06	ashby_ba_senior	Business Analyst (East Coast Remote)	HockeyStack	added
https://jobs.ashbyhq.com/moovx/06e5c790-c929-470a-88a4-0add7081b770	2026-04-06	ashby_ba_senior	Senior Business Analyst	Moovx	added
https://jobs.ashbyhq.com/webai/54033c95-3065-4534-82be-6600343341eb	2026-04-06	ashby_ba_senior	Business Analyst	webAI	added
https://jobs.ashbyhq.com/moxie/5508aa01-a7d0-4bf3-9f5a-cd0b8649af65	2026-04-06	ashby_ba_senior	Senior Business Analyst	Moxie	added
https://jobs.ashbyhq.com/sunnydata/651e0c69-2af5-49b9-8880-210f872e4924	2026-04-06	ashby_ba_senior	Senior Business Analyst (Healthcare)	SunnyData	added
https://jobs.ashbyhq.com/techtorch/05c6b64a-6b76-4d2c-9782-ba5e05413c2f	2026-04-06	ashby_ba_senior	Business Analyst	Techtorch	added
https://jobs.ashbyhq.com/infiterra/a3c2d847-751d-4965-a10c-f871ec14c3ea/application	2026-04-06	ashby_ba_senior	Senior Business Analyst	Infiterra S.A	added
https://jobs.ashbyhq.com/techtorch/f8019a7a-eae1-46a4-98a8-7a2d45b157fb	2026-04-06	ashby_ba_senior	Business Analyst, Data, US	Techtorch	added
https://jobs.ashbyhq.com/HighlightTA/508ed838-9ccf-4a53-bc0d-ae33055bd3b9	2026-04-06	ashby_scrum_agile	Agile Delivery Manager	HighlightTA	added
https://jobs.ashbyhq.com/robin-radar/1673eca2-2674-46f1-9f54-1aa8c4b759f2	2026-04-06	ashby_scrum_agile	Scrum Master	Robin Radar	added
https://jobs.ashbyhq.com/tailor/be8463fd-1c50-4cb0-8eb9-30754c9d6c57/application	2026-04-06	ashby_scrum_agile	Scrum Master	Tailor	added
https://jobs.ashbyhq.com/promise/5effcb30-a205-4cb9-a516-c166a1be7da2	2026-04-06	ashby_scrum_agile	Delivery Lead	Promise	added
https://job-boards.greenhouse.io/huntress/jobs/7526983003	2026-04-06	greenhouse_ba_systems	Business Systems Analyst	Huntress	added
https://job-boards.greenhouse.io/gitlab/jobs/8414310002	2026-04-06	greenhouse_ba_systems	Business Systems Analyst, Marketing	GitLab	added
https://job-boards.greenhouse.io/fleetio/jobs/5056667007	2026-04-06	greenhouse_ba_systems	Business Systems Analyst, GTM Systems	Fleetio	added
https://job-boards.greenhouse.io/ciazumano/jobs/4680965005	2026-04-06	greenhouse_ba_systems	Business Analyst	CI Azumano	added
https://job-boards.greenhouse.io/oura/jobs/4194704009	2026-04-06	greenhouse_ba_systems	Senior Business Systems Analyst, Finance	Oura	added
